latitude,longitude,distance_to_shore,timezone,jurisdiction,water_depth
15.0,-164.0,821611.2,-11,b'None',5533.0
15.0,-163.95367,819447.6,-11,b'None',5546.795
15.0,-163.90735,817307.56,-11,b'None',5577.1514
15.0,-163.86101,815191.1,-11,b'None',5616.104
15.0,-163.81468,813098.44,-11,b'None',5672.622
15.0,-163.76834,811029.44,-11,b'None',5717.196
15.0,-163.722,808984.7,-11,b'None',5681.6846
15.0,-163.67566,806964.25,-11,b'None',5623.936
15.0,-163.62932,804968.4,-11,b'None',5616.0
15.0,-163.58296,802997.3,-11,b'None',5610.2207
